ZipCode,Number of returns,Total income Amount (In thousand of dollars),Average total income
10001,15590,2830868,181582.2963
10002,41020,2697332,65756.50902
10003,25780,6953211,269713.3825
10004,2220,1047897,472025.6757
10005,5530,2374656,429413.3816
10006,2340,592389,253157.6923
10007,3540,2722039,768937.5706
10009,29700,2569360,86510.43771
10010,15360,4762756,310075.2604
10011,27570,9122665,330891.0047
10012,10930,3291702,301162.1226
10013,13940,8938567,641217.1449
10014,17280,6123877,354391.0301
10016,29210,6158874,210848.1342
10017,10710,4939594,461213.2586
10018,6170,1988201,322236.7909
10019,25480,7689858,301799.7645
10021,20970,10025527,478089.032
10022,19840,9118685,459611.1391
10023,32640,11341346,347467.7083
10024,28360,11373199,401029.5839
10025,42980,7472615,173862.6105
10026,18100,1375717,76006.46409
10027,26870,2001190,74476.73986
10028,24010,9785548,407561.3494
10029,35490,2121643,59781.43139
10030,13580,658629,48499.92636
10031,29170,1335966,45799.31436
10032,29330,1248941,42582.373
10033,27190,1355533,49854.10077
10034,20650,1000175,48434.6247
10035,15640,814719,52092.00767
10036,18730,3760386,200768.0726
10037,10540,570920,54166.98292
10038,11730,1742681,148566.1552
10039,13610,596194,43805.58413
10040,21880,1058827,48392.45887
10044,4650,477471,102681.9355
10065,14310,7376030,515445.8421
10069,3210,1700860,529862.9283
10075,12730,5940686,466668.1854
10128,30460,12213648,400973.3421
10162,740,194354,262640.5405
10280,4140,942163,227575.6039
10282,1990,1270026,638204.0201
10301,18930,1415837,74793.29107
10302,9100,487808,53605.27473
10303,13290,638896,48073.43868
10304,21600,1539640,71279.62963
10305,21150,1338809,63300.66194
10306,29050,2206297,75948.26162
10307,6810,689000,101174.743
10308,14230,1149713,80795.01054
10309,16050,1488768,92758.13084
10310,12290,818948,66635.31326
10312,30670,2670523,87072.8073
10314,42770,3157009,73813.63105
10451,26180,960680,36695.18717
10452,39520,1260715,31900.6832
10453,42530,1294744,30443.07548
10454,16610,537075,32334.43709
10455,19640,636716,32419.34827
10456,43550,1383965,31778.76005
10457,36660,1146845,31283.27878
10458,38130,1239031,32494.91214
10459,23460,762674,32509.54817
10460,28870,935579,32406.61586
10461,25950,1385179,53378.76686
10462,41840,1870340,44702.19885
10463,36490,2465129,67556.28939
10464,2210,201204,91042.53394
10465,20620,1331849,64590.15519
10466,34370,1496718,43547.22141
10467,49360,1861398,37710.6564
10468,39780,1314920,33054.80141
10469,34250,1679769,49044.35036
10470,7940,450409,56726.57431
10471,10040,1344310,133895.4183
10472,31490,1069767,33971.64179
10473,30080,1279353,42531.68218
10474,5300,168864,31861.13208
10475,23130,1197818,51786.33809
10501,670,115128,171832.8358
10502,2850,569305,199756.1404
10504,4020,1827098,454501.99
10505,810,108288,133688.8889
10506,2760,1127614,408555.7971
10507,2740,537298,196094.1606
10509,10480,984648,93954.96183
10510,4950,1514785,306017.1717
10511,1180,101616,86115.25424
10512,13220,1311558,99210.13616
10514,5410,2831495,523381.7006
10516,2790,488793,175194.6237
10518,700,138325,197607.1429
10520,6410,1006336,156994.6958
10522,5420,1096997,202397.9705
10523,5230,397436,75991.587
10524,2180,393210,180371.5596
10526,970,176380,181835.0515
10527,440,77511,176161.3636
10528,6010,2066877,343906.3228
10530,7290,956171,131162.0027
10532,2580,283083,109722.093
10533,3740,1267874,339003.7433
10535,370,26111,70570.27027
10536,5100,1692140,331792.1569
10537,1280,89668,70053.125
10538,8100,4005816,494545.1852
10541,13380,1316851,98419.35725
10543,9990,2183646,218583.1832
10546,690,181494,263034.7826
10547,3800,349737,92036.05263
10548,1750,156108,89204.57143
10549,8420,1816933,215787.7672
10550,20620,913140,44284.19011
10552,11290,915709,81107.97166
10553,6160,335681,54493.66883
10560,2200,454886,206766.3636
10562,16670,1489099,89328.07439
10566,13330,804870,60380.34509
10567,10260,1227092,119599.6101
10570,6080,1268070,208564.1447
10573,19600,2098288,107055.5102
10576,2530,821124,324554.9407
10577,1450,1010455,696865.5172
10578,430,44160,102697.6744
10579,4550,502898,110527.033
10580,8090,5220398,645290.2349
10583,18570,9400656,506228.1099
10588,1320,127803,96820.45455
10589,4730,648017,137001.4799
10590,3290,663527,201679.9392
10591,12290,1705503,138771.6029
10594,2650,363327,137104.5283
10595,3380,457751,135429.2899
10597,470,216228,460059.5745
10598,14900,1861093,124905.5705
10601,6100,1335463,218928.3607
10603,10080,896139,88902.67857
10604,5970,908988,152259.2965
10605,10180,1625946,159719.6464
10606,9020,821146,91036.14191
10607,4090,435973,106594.8655
10701,33990,1688066,49663.60694
10703,11280,654992,58066.66667
10704,17820,1211263,67972.10999
10705,20050,1012687,50508.0798
10706,4440,919317,207053.3784
10707,5340,705031,132028.2772
10708,11440,3677966,321500.5245
10709,5030,755923,150282.9026
10710,14520,1216727,83796.62534
10801,20160,1477827,73304.91071
10803,5940,1703351,286759.4276
10804,7120,1865758,262044.6629
10805,9570,737943,77110.03135
10901,11550,1537170,133088.3117
10913,2610,411303,157587.3563
10916,2330,247389,106175.5365
10917,1100,101790,92536.36364
10918,5980,537366,89860.53512
10919,620,47119,75998.3871
10920,4740,449638,94860.33755
10921,2340,185489,79268.80342
10923,5130,352770,68766.08187
10924,6680,685002,102545.2096
10925,2520,197711,78456.74603
10926,1990,148403,74574.37186
10927,6560,304118,46359.45122
10928,2300,142394,61910.43478
10930,4470,412558,92294.85459
10940,26850,1567715,58387.89572
10941,7660,506408,66110.70496
10950,18990,1520539,80070.5108
10952,13400,1520986,113506.4179
10954,12800,1132336,88463.75
10956,16380,2075913,126734.6154
10958,1640,132054,80520.73171
10960,7770,1089317,140195.2381
10962,2670,323546,121178.2772
10963,1340,97247,72572.38806
10964,740,273458,369537.8378
10965,8000,871737,108967.125
10968,1280,199756,156059.375
10969,650,53468,82258.46154
10970,5650,461819,81737.87611
10973,1160,104545,90125
10974,1780,176602,99214.60674
10975,150,9520,63466.66667
10976,840,74458,88640.47619
10977,25840,1542143,59680.45666
10980,7340,676635,92184.6049
10983,3060,349152,114101.9608
10984,1350,117901,87334.07407
10985,160,11718,73237.5
10986,1010,98421,97446.53465
10987,2040,377314,184957.8431
10989,4970,500369,100677.8672
10990,10060,1121499,111481.0139
10992,5000,422336,84467.2
10993,2710,137032,50565.31365
10994,3920,563293,143697.1939
10996,1260,96673,76724.60317
10998,1730,151216,87408.09249
11001,14470,1395748,96458.05114
11003,25520,1507900,59086.9906
11004,6910,505809,73199.56585
11005,1430,197403,138044.0559
11010,13150,1097230,83439.54373
11020,3070,601063,195785.9935
11021,9360,1822511,194712.7137
11023,4190,804564,192020.0477
11024,3160,1193450,377674.0506
11030,8750,3694459,422223.8857
11040,22430,2470775,110154.9264
11042,380,260290,684973.6842
11050,15230,3638202,238883.9133
11096,4420,198332,44871.49321
11101,24230,2554383,105422.3277
11102,19360,1215663,62792.51033
11103,20510,1251677,61027.64505
11104,15020,996213,66325.76565
11105,19530,1307087,66927.13774
11106,21940,1382832,63027.89426
11109,3400,629809,185237.9412
11201,33940,8507786,250671.3612
11203,38210,1756744,45976.02722
11204,35610,1982015,55658.94412
11205,19340,1638134,84701.86143
11206,39170,1873514,47830.32933
11207,45760,1776256,38816.78322
11208,48470,1740442,35907.61296
11209,35060,2842326,81070.33657
11210,29750,2217433,74535.56303
11211,32080,2858551,89106.95137
11212,39580,1436218,36286.45781
11213,30660,1484055,48403.62035
11214,43720,2063807,47205.10064
11215,32710,5488327,167787.435
11216,29890,1994392,66724.38943
11217,20630,3361400,162937.4697
11218,34390,2334980,67897.0631
11219,35880,1659893,46262.34671
11220,55420,1814276,32736.8459
11221,42440,2139857,50420.75872
11222,23550,2444781,103812.3567
11223,34750,2790052,80289.26619
11224,21120,999710,47334.75379
11225,30830,1827276,59269.41291
11226,53820,2615424,48595.76366
11228,21200,1325465,62521.93396
11229,38800,2576557,66406.10825
11230,38110,2985897,78349.43584
11231,17230,2941777,170735.7516
11232,13070,660562,50540.32135
11233,33360,1626889,48767.65588
11234,43850,3119357,71136.98974
11235,41800,2711633,64871.60287
11236,49020,2385678,48667.44186
11237,24260,1063678,43844.92993
11238,32140,3727112,115964.9035
11239,8310,358332,43120.57762
11354,33450,1414970,42301.04634
11355,55470,1721912,31042.22102
11356,14020,600092,42802.56776
11357,21180,1872399,88404.10765
11358,20970,1233382,58816.49976
11360,10260,990936,96582.45614
11361,14630,1033979,70675.25632
11362,9240,789810,85477.27273
11363,3510,431735,123001.4245
11364,18750,1317563,70270.02667
11365,23080,1320254,57203.37955
11366,7070,495855,70135.07779
11367,19760,1199847,60721.00202
11368,53470,1679161,31403.79652
11369,19780,766438,38748.12942
11370,14600,681731,46693.90411
11372,36310,1841519,50716.57945
11373,54520,2031075,37253.76009
11374,23820,1598873,67123.13182
11375,35500,3693159,104032.6479
11377,47660,2197156,46100.62946
11378,18740,1041835,55594.18356
11379,18520,1317882,71159.93521
11385,51120,2627269,51394.15102
11411,11050,625993,56650.95023
11412,20540,1009346,49140.50633
11413,22570,1220258,54065.48516
11414,13720,1043307,76042.78426
11415,9650,684944,70978.65285
11416,13830,539608,39017.20897
11417,16190,771393,47646.26313
11418,19390,891245,45964.15678
11419,26830,1004211,37428.66195
11420,25570,1136367,44441.41572
11421,22000,951749,43261.31818
11422,17100,908768,53144.32749
11423,16270,841109,51696.92686
11426,9850,654380,66434.51777
11427,12310,788710,64070.67425
11428,10530,534588,50768.09117
11429,13780,685000,49709.72424
11432,29640,1488436,50217.139
11433,18310,756614,41322.44675
11434,34530,1650352,47794.72922
