,Dog breed,category,"LIFETIME COST, $",lifetime_cost_category
0,French Bulldog,non-sporting,17266,Low
1,Labrador Retriever,sporting,21299,Medium
2,Golden Retriever,sporting,21447,Medium
3,German Shepherd,herding,17416,Low
4,Poodle,non-sporting,21237,Medium
5,Bulldog,non-sporting,13479,Low
6,Rottweiler,working,18886,Medium
7,Beagle,hound,19468,Medium
8,Dachshund,hound,20113,Medium
9,German Shorthaired Pointer,sporting,25842,High
10,Pembroke Welsh Corgi,herding,23978,High
11,Australian Shepherd,herding,21458,Medium
12,Yorkshire Terrier,toy,20701,Medium
13,Cavalier King Charles Spaniel,toy,18639,Medium
14,Doberman Pinscher,working,18397,Medium
15,Boxer,working,15746,Low
16,Miniature Schnauzer,terrier,20087,Medium
17,Cane Corso,working,21340,Medium
18,Great Dane,working,14662,Low
19,Shih Tzu,toy,21152,Medium
20,Siberian Husky,working,22049,Medium
21,Bernese Mountain Dog,working,16099,Low
22,Pomeranian,toy,15792,Low
23,Boston Terrier,non-sporting,17741,Low
24,Havanese,toy,13500,Low
25,English Springer Spaniel,sporting,21946,Medium
26,Shetland Sheepdog,herding,21006,Medium
27,Brittany,sporting,22589,High
28,Cocker Spaniel,sporting,24330,High
29,Border Collie,herding,20143,Medium
30,Chihuahua,toy,26250,High
31,Pug,toy,18527,Medium
32,Basset Hound,hound,18328,Medium
33,Mastiff,working,13581,Low
34,Maltese,toy,19084,Medium
35,Collie,herding,26055,High
36,English Cocker Spaniel,sporting,18993,Medium
37,Rhodesian Ridgeback,hound,16530,Low
38,Newfoundland,working,19351,Medium
39,Shiba Inu,non-sporting,14220,Low
40,Weimaraner,sporting,26750,High
41,West Highland White Terrier,terrier,20490,Medium
42,Portuguese Water Dog,working,23040,High
43,Bichon Frise,non-sporting,19735,Medium
44,Australian Cattle Dog,herding,20395,Medium
45,Dalmatian,non-sporting,19886,Medium
46,Bloodhound,hound,13824,Low
47,Belgian Malinois,herding,18305,Medium
48,Vizsla,sporting,17145,Low
49,Miniature American Shephard,Working,17250,Low
