,breed,fur,fur_color,gender,image,life_expectancy
1,Bulldog Francés,Corto,Gris,Hembra,https://http2.mlstatic.com/D_NQ_NP_714611-MEC50253081381_062022-O.jpg,10
2,french poodle,Corto,Blanco,Macho,https://http2.mlstatic.com/D_NQ_NP_693633-MEC50152204932_052022-O.jpg,16
4,Bulldog Francés,Corto,Gris,Hembra,https://http2.mlstatic.com/D_NQ_NP_627613-MEC48299727614_112021-O.jpg,10
5,French Minitoy,Corto,Blanco,Hembra,https://http2.mlstatic.com/D_NQ_NP_843219-MEC45671834670_042021-O.jpg,18
6,Pomeranian,Largo,Blanco,Hembra,https://http2.mlstatic.com/D_NQ_NP_795240-MEC49623128427_042022-O.jpg,16
7,American Bully,Corto,Gris,Macho,https://http2.mlstatic.com/D_NQ_NP_649758-MEC49877576159_052022-O.jpg,20
8,West Highland White Terrier,Largo,,Macho,https://http2.mlstatic.com/D_NQ_NP_803485-MEC44164319487_112020-O.jpg,15
9,Bichón Maltés,Largo,Blanco,Macho,https://http2.mlstatic.com/D_NQ_NP_809643-MEC49927313716_052022-O.jpg,15
12,Bulldog Francés,Corto,Gris,Macho,https://http2.mlstatic.com/D_NQ_NP_783819-MEC49878146251_052022-O.webp,10
13,Bulldog Francés,Corto,Crema,Hembra,https://http2.mlstatic.com/D_NQ_NP_858327-MEC48552688569_122021-O.jpg,14
14,Akita Américanos,,,Hembra,https://http2.mlstatic.com/D_NQ_NP_865496-MEC49592138948_042022-O.jpg,
15,Bulldog Francés,Corto,,Hembra,https://http2.mlstatic.com/D_NQ_NP_770570-MEC49583088711_042022-O.jpg,14
16,Beagles,Corto,,Hembra,https://http2.mlstatic.com/D_NQ_NP_927092-MEC46736068164_072021-O.jpg,12
17,Shitzu,,,Hembra,https://http2.mlstatic.com/D_NQ_NP_928139-MEC49592119861_042022-O.jpg,
18,french poodle minitoy,Largo,Chocolate,Hembra,https://http2.mlstatic.com/D_NQ_NP_790360-MEC49871586977_052022-O.jpg,15
19,Husky Siberiano,Largo,Negro,,https://http2.mlstatic.com/D_NQ_NP_602290-MEC50207915265_062022-O.jpg,15
20,Pug,Corto,Gris,Macho,https://http2.mlstatic.com/D_NQ_NP_728557-MEC50134882517_052022-O.jpg,15
22,Cocker,Corto,Café,Hembra,https://http2.mlstatic.com/D_NQ_NP_970996-MEC49977127552_052022-O.jpg,13
23,Shitzu,Corto,Blanco,Hembra,https://http2.mlstatic.com/D_NQ_NP_923672-MEC49953431511_052022-O.jpg,14
